Request Allowed Wait Time Used(%),Car flexibility (param.),Req. flexibility (param.),reqWaitTime,reqDis,Requests Flexibility Used
3.3475422,1.3,1.6,276125,8248589,0.033475422
3.6872254,1.3,1.7,303131,8221114,0.036872254
4.5335295,1.3,1.8,376212,8298435,0.045335295
4.9573253,1.3,1.9,412997,8331045,0.049573253
5.1912594,1.3,2,430704,8296715,0.051912594
5.7414651,1.3,2.1,480380,8366854,0.057414651
6.7725722,1.3,2.2,569348,8406673,0.067725722
7.1225501,1.3,2.3,598367,8401022,0.071225501
7.5739155,1.3,2.4,634564,8378282,0.075739155
8.0193798,1.3,2.5,678104,8455816,0.080193798
8.3186943,1.3,2.6,697485,8384549,0.083186943
8.2850965,1.3,2.7,693548,8371031,0.082850965
8.5726339,1.3,2.8,722173,8424167,0.085726339
9.1504315,1.3,2.9,772777,8445252,0.091504315
9.2582249,1.3,3,777908,8402345,0.092582249
0.1186971,1.4,1.1,9612,8097924,0.001186971
0.5226802,1.4,1.2,43406,8304504,0.005226802
1.0953953,1.4,1.3,91821,8382453,0.010953953
1.693796,1.4,1.4,145333,8580313,0.01693796
2.3487509,1.4,1.5,202457,8619773,0.023487509
2.8390831,1.4,1.6,245693,8653956,0.028390831
3.6116304,1.4,1.7,314155,8698426,0.036116304
4.0145548,1.4,1.8,353915,8815797,0.040145548
4.3117983,1.4,1.9,377210,8748322,0.043117983
5.0672903,1.4,2,447492,8830992,0.050672903
5.3467836,1.4,2.1,471415,8816796,0.053467836
6.0826532,1.4,2.2,540734,8889772,0.060826532
6.1468217,1.4,2.3,543035,8834403,0.061468217
6.8767562,1.4,2.4,605560,8805896,0.068767562
7.0217124,1.4,2.5,622981,8872209,0.070217124
7.0305,1.4,2.6,622617,8855942,0.070305
7.5634911,1.4,2.7,670839,8869436,0.075634911
7.3204837,1.4,2.8,650258,8882719,0.073204837
7.3875147,1.4,2.9,655094,8867583,0.073875147
8.0011435,1.4,3,711484,8892279,0.080011435
0.0762302,1.5,1.1,6412,8411364,0.000762302
0.4649536,1.5,1.2,40204,8646885,0.004649536
1.0334575,1.5,1.3,90951,8800652,0.010334575
1.641917,1.5,1.4,146211,8904896,0.01641917
2.1830602,1.5,1.5,195908,8974008,0.021830602
2.7224808,1.5,1.6,246567,9056703,0.027224808
3.0592381,1.5,1.7,276683,9044180,0.030592381
3.4300138,1.5,1.8,311628,9085328,0.034300138
4.2732751,1.5,1.9,388060,9081091,0.042732751
4.1182579,1.5,2,376836,9150374,0.041182579
4.6268666,1.5,2.1,424460,9173811,0.046268666
5.5355219,1.5,2.2,507430,9166796,0.055355219
5.5665311,1.5,2.3,510106,9163804,0.055665311
6.0514751,1.5,2.4,558514,9229386,0.060514751
5.8196482,1.5,2.5,536236,9214234,0.058196482
6.3233772,1.5,2.6,584184,9238481,0.063233772
6.5812009,1.5,2.7,607320,9228103,0.065812009
6.6920349,1.5,2.8,614890,9188386,0.066920349
6.432546,1.5,2.9,592841,9216273,0.06432546
6.9325924,1.5,3,639275,9221298,0.069325924
0.3474978,1.1,1.1,25263,7269975,0.003474978
1.1985558,1.1,1.2,90699,7567357,0.011985558
2.1301297,1.1,1.3,165536,7771170,0.021301297
3.5007007,1.1,1.4,276642,7902475,0.035007007
4.3645469,1.1,1.5,353315,8095113,0.043645469
5.2672476,1.1,1.6,429896,8161682,0.052672476
6.2465547,1.1,1.7,512759,8208669,0.062465547
6.6276385,1.1,1.8,548123,8270261,0.066276385
