 Car allowed wait time used(%),Car flexibility(param.),Request Flexibility (param.),CarWaitTime,carDis, Car delay allowance used(%)
5.2153014,1.1,1.1,594934,11407471,0.052153014
4.9649317,1.1,1.2,582370,11729668,0.049649317
4.8905112,1.1,1.3,588007,12023426,0.048905112
4.7083044,1.1,1.4,586271,12451850,0.047083044
4.6432279,1.1,1.5,585850,12617300,0.046432279
4.5755311,1.1,1.6,584765,12780265,0.045755311
4.4085994,1.1,1.7,567014,12861545,0.044085994
4.5383941,1.1,1.8,591867,13041331,0.045383941
4.4450654,1.1,1.9,589870,13270221,0.044450654
4.4083804,1.1,2,585528,13282157,0.044083804
4.2798754,1.1,2.1,566975,13247465,0.042798754
4.3377481,1.1,2.2,588399,13564619,0.043377481
4.2450312,1.1,2.3,578936,13637968,0.042450312
4.2029977,1.1,2.4,579404,13785494,0.042029977
4.2588754,1.1,2.5,585763,13753936,0.042588754
4.1016355,1.1,2.6,562787,13721039,0.041016355
4.2040311,1.1,2.7,572670,13621926,0.042040311
4.0884543,1.1,2.8,563496,13782617,0.040884543
4.1573175,1.1,2.9,581706,13992340,0.041573175
4.0846372,1.1,3,568090,13907967,0.040846372
11.0091965,1.2,1.1,1417428,12874945,0.110091965
10.7389495,1.2,1.2,1419122,13214719,0.107389495
10.6273611,1.2,1.3,1429157,13447901,0.106273611
10.2115356,1.2,1.4,1394603,13657133,0.102115356
10.2949214,1.2,1.5,1420823,13801203,0.102949214
10.1083128,1.2,1.6,1430600,14152708,0.101083128
10.1879568,1.2,1.7,1452394,14255989,0.101879568
10.0737991,1.2,1.8,1454084,14434316,0.100737991
9.8549795,1.2,1.9,1429518,14505540,0.098549795
9.8225599,1.2,2,1434600,14605154,0.098225599
9.8461646,1.2,2.1,1443629,14661841,0.098461646
9.7374569,1.2,2.2,1442435,14813262,0.097374569
9.5962471,1.2,2.3,1435764,14961724,0.095962471
9.5975456,1.2,2.4,1429772,14897267,0.095975456
9.6320976,1.2,2.5,1454851,15104197,0.096320976
9.5249273,1.2,2.6,1445376,15174667,0.095249273
9.5440734,1.2,2.7,1443721,15126885,0.095440734
9.4718799,1.2,2.8,1434990,15150002,0.094718799
9.3197896,1.2,2.9,1414764,15180214,0.093197896
9.3266663,1.2,3,1435135,15387438,0.093266663
16.8354953,1.3,1.1,2311530,13730098,0.168354953
16.6608108,1.3,1.2,2338723,14037270,0.166608108
16.4721742,1.3,1.3,2360228,14328576,0.164721742
16.1492929,1.3,1.4,2349913,14551182,0.161492929
16.1509678,1.3,1.5,2404710,14888953,0.161509678
15.975595,1.3,1.6,2412947,15103957,0.15975595
15.8707676,1.3,1.7,2405072,15154100,0.158707676
15.7514925,1.3,1.8,2403137,15256567,0.157514925
15.6952807,1.3,1.9,2390433,15230266,0.156952807
15.4790691,1.3,2,2388677,15431658,0.154790691
15.4035505,1.3,2.1,2397918,15567307,0.154035505
15.3907007,1.3,2.2,2405209,15627677,0.153907007
15.3958031,1.3,2.3,2416496,15695810,0.153958031
15.2620253,1.3,2.4,2404026,15751684,0.152620253
15.3778253,1.3,2.5,2445240,15901078,0.153778253
15.0782587,1.3,2.6,2382590,15801493,0.150782587
15.152317,1.3,2.7,2400359,15841531,0.15152317
15.0728068,1.3,2.8,2411557,15999389,0.150728068
15.0105679,1.3,2.9,2395913,15961508,0.150105679
14.9096158,1.3,3,2364073,15856029,0.149096158
22.7451139,1.4,1.1,3262896,14345481,0.227451139
22.090901,1.4,1.2,3232167,14631214,0.22090901
21.9425982,1.4,1.3,3264575,14877796,0.219425982
