Car flexibility (param.),Worst case CPU time(s),Max. number of car/s
1.1,0.044474087,278
1.1,0.045099651,289
1.1,0.254648904,283
1.1,0.038314685,274
1.1,0.040327398,264
1.1,0.03732886,259
1.1,0.037873903,272
1.1,0.040691829,275
1.1,0.037915607,263
1.1,0.040071719,267
1.1,0.03594909,264
1.1,0.038961743,263
1.1,0.036019666,254
1.1,0.037234544,259
1.1,0.037472259,263
1.2,0.064516522,335
1.2,0.059947016,342
1.2,0.061309142,329
1.2,0.050110581,308
1.2,0.05464961,318
1.2,0.055066974,311
1.2,0.046725797,314
1.2,0.050351824,307
1.2,0.045468252,290
1.2,0.047131291,295
1.2,0.0467752,297
1.2,0.047056865,301
1.2,0.047044033,289
1.2,0.044694798,286
1.2,0.044566478,296
1.2,0.047333717,290
1.2,0.043809064,282
1.2,0.044724312,280
1.2,0.03834869,299
1.2,0.041600662,292
1.3,0.07077056,362
1.3,0.067958409,366
1.3,0.067718449,357
1.3,0.066524423,363
1.3,0.067572163,354
1.3,0.062355599,355
1.3,0.063188401,342
1.3,0.060010214,338
1.3,0.062553855,339
1.3,0.058399788,336
1.3,0.059153673,330
1.3,0.057014885,343
1.3,0.062123017,334
1.3,0.060698335,338
1.3,0.056309441,321
1.3,0.056403756,326
1.3,0.055570954,325
1.3,0.057286925,338
1.3,0.05393358,331
1.3,0.061072069,326
1.4,0.089059171,402
1.4,0.090825187,402
1.4,0.082932491,393
1.4,0.080268871,395
1.4,0.079665121,394
1.4,0.075710593,388
1.4,0.086904663,388
1.4,0.076526072,376
1.4,0.076949531,385
1.4,0.075749731,374
1.4,0.071151673,375
1.4,0.07221032,371
1.4,0.063468141,369
1.4,0.067797687,358
1.4,0.070623633,378
1.4,0.069676946,387
1.4,0.073406271,376
1.4,0.065374026,377
1.4,0.058608309,368
1.4,0.062790927,373
1.5,0.090773217,446
1.5,0.064434397,447
1.5,0.095927224,429
1.5,0.086382718,433
1.5,0.08156844,426
1.5,0.077160939,426
