day,reqWaitTime,reqDis,CarWaitTime,carDis,Rides,NumCar,NumReq,C:R ratio,carFlex,ReqFlex,NumFeasible,totalCPUtime,tranferTimes
1,897348,13384073,4157736,19490685,34096,22731,11365,2,1.4,2.8,10131,417.5496601742757,1278
1,888042,13383661,4158451,19567393,34096,22731,11365,2,1.4,2.9,10147,437.4904702510353,1310
1,868660,13346039,4169241,19583936,34096,22731,11365,2,1.4,3.0,10113,427.00001796492734,1285
1,13269,12745332,5143627,17443584,34096,22731,11365,2,1.5,1.1,9575,622.8441106818595,444
1,68020,13022729,5205125,17923443,34096,22731,11365,2,1.5,1.2,9704,363.41931312405313,608
1,126780,13208522,5213066,18211427,34096,22731,11365,2,1.5,1.3,9808,625.2042226546487,695
1,205002,13396444,5270878,18496654,34096,22731,11365,2,1.5,1.4,9912,410.11300769351783,817
1,272796,13555758,5298076,18747308,34096,22731,11365,2,1.5,1.5,10012,588.303449649799,899
1,340385,13573156,5352482,19025707,34096,22731,11365,2,1.5,1.6,10050,467.85668420173215,995
1,374021,13596288,5345148,18997110,34096,22731,11365,2,1.5,1.7,10082,580.6724183285846,985
1,487011,13639290,5281596,19147562,34096,22731,11365,2,1.5,1.8,10101,501.0800568204904,1054
1,525904,13683892,5370562,19349563,34096,22731,11365,2,1.5,1.9,10160,570.0361059622669,1107
1,551257,13738117,5369286,19473670,34096,22731,11365,2,1.5,2.0,10185,529.0360873556965,1192
1,602351,13735126,5347841,19474733,34096,22731,11365,2,1.5,2.1,10231,548.5487176575507,1219
1,639839,13749465,5443872,19584529,34096,22731,11365,2,1.5,2.2,10278,545.6550526660367,1250
1,646907,13733017,5383793,19520585,34096,22731,11365,2,1.5,2.3,10281,553.1213100533464,1211
1,665816,13776130,5395043,19607492,34096,22731,11365,2,1.5,2.4,10311,543.5209207920025,1255
1,717610,13716981,5404343,19718471,34096,22731,11365,2,1.5,2.5,10294,547.6507394810769,1267
1,767632,13759436,5386807,19800600,34096,22731,11365,2,1.5,2.6,10329,542.205886655468,1332
1,729547,13789854,5360741,19774165,34096,22731,11365,2,1.5,2.7,10322,541.0850209130804,1280
1,763339,13729335,5416053,19765642,34096,22731,11365,2,1.5,2.8,10319,542.411913822295,1292
1,785130,13787437,5439951,19886865,34096,22731,11365,2,1.5,2.9,10347,528.6551421698614,1359
1,786866,13793831,5431001,19729147,34096,22731,11365,2,1.5,3.0,10349,552.7107811340079,1309
2,17845,5577430,466617,8652813,22594,15063,7531,2,1.1,1.1,4193,45.952835024923154,105
2,68666,5900808,464955,9176644,22594,15063,7531,2,1.1,1.2,4395,45.58112765808655,156
2,129581,6033253,462681,9422853,22594,15063,7531,2,1.1,1.3,4500,47.79574141549536,185
2,204613,6191579,457183,9611192,22594,15063,7531,2,1.1,1.4,4602,58.117453049000204,211
2,269287,6303625,453928,9867653,22594,15063,7531,2,1.1,1.5,4679,57.122483547659186,262
2,314026,6384890,471556,10091090,22594,15063,7531,2,1.1,1.6,4786,54.15409988367452,303
2,417890,6429519,459215,10219623,22594,15063,7531,2,1.1,1.7,4804,53.32267243597289,354
2,451059,6481749,466067,10333504,22594,15063,7531,2,1.1,1.8,4846,53.25877024983288,365
2,508817,6535567,462347,10553648,22594,15063,7531,2,1.1,1.9,4916,50.745084829711004,388
2,579446,6581324,461321,10538128,22594,15063,7531,2,1.1,2.0,4977,51.1397074155974,380
2,641063,6626916,462199,10672837,22594,15063,7531,2,1.1,2.1,4982,46.534671334985205,446
2,704225,6670199,454060,10786806,22594,15063,7531,2,1.1,2.2,5039,49.15019187176563,521
2,755868,6576926,465543,10851552,22594,15063,7531,2,1.1,2.3,5020,50.01163453191975,555
2,802417,6595159,457330,10947475,22594,15063,7531,2,1.1,2.4,5041,44.86809673853611,555
2,874512,6620016,455895,10991762,22594,15063,7531,2,1.1,2.5,5101,45.46580313141533,593
2,885987,6649231,457018,11010634,22594,15063,7531,2,1.1,2.6,5090,45.629299951946905,600
2,921694,6658651,453919,11040772,22594,15063,7531,2,1.1,2.7,5122,43.52094292736979,576
2,959958,6716706,456018,11157660,22594,15063,7531,2,1.1,2.8,5174,46.375084130361074,606
2,998908,6614702,448594,11062175,22594,15063,7531,2,1.1,2.9,5156,46.67658619022404,611
2,1046100,6668503,463241,11189224,22594,15063,7531,2,1.1,3.0,5141,41.19908115844464,660
2,11145,6858465,1130608,10137223,22594,15063,7531,2,1.2,1.1,5075,78.1875746266112,149
2,53896,7132901,1149037,10410151,22594,15063,7531,2,1.2,1.2,5212,73.16791105823722,191
2,108740,7283643,1175558,10730894,22594,15063,7531,2,1.2,1.3,5318,72.50575358673268,242
2,173349,7404716,1145013,10925299,22594,15063,7531,2,1.2,1.4,5351,69.07204927778366,312
2,226936,7537256,1168114,11167039,22594,15063,7531,2,1.2,1.5,5473,70.9210762527423,363
2,281074,7513907,1180956,11278981,22594,15063,7531,2,1.2,1.6,5455,64.09892030825404,398
2,329426,7577078,1168479,11393656,22594,15063,7531,2,1.2,1.7,5530,65.51472321510687,426
2,392415,7573378,1173383,11538090,22594,15063,7531,2,1.2,1.8,5553,63.647232151041635,472
2,448202,7722150,1186528,11655465,22594,15063,7531,2,1.2,1.9,5612,63.8771565123302,521
2,490656,7689582,1180425,11848924,22594,15063,7531,2,1.2,2.0,5630,61.912098604306266,549
2,563487,7724100,1171050,11852089,22594,15063,7531,2,1.2,2.1,5690,59.32399478243042,556
2,637473,7752789,1174626,12033109,22594,15063,7531,2,1.2,2.2,5712,61.79788244912288,678
2,644090,7740407,1177110,11972139,22594,15063,7531,2,1.2,2.3,5750,62.142497431981155,659
2,688250,7753391,1160476,12106502,22594,15063,7531,2,1.2,2.4,5767,59.222324237326575,659
2,724317,7663353,1165772,12101020,22594,15063,7531,2,1.2,2.5,5748,59.29303256208959,676
2,737408,7729863,1194591,12209871,22594,15063,7531,2,1.2,2.6,5800,57.293318717588136,720
2,777876,7785958,1170876,12137093,22594,15063,7531,2,1.2,2.7,5814,57.277574710015415,714
2,826523,7722010,1161495,12266308,22594,15063,7531,2,1.2,2.8,5813,55.07252438576734,738
2,858766,7873726,1158119,12296378,22594,15063,7531,2,1.2,2.9,5858,55.38785141467588,746
2,845395,7786727,1160827,12282917,22594,15063,7531,2,1.2,3.0,5847,57.69480743210306,721
2,9431,7574298,1887138,10864022,22594,15063,7531,2,1.3,1.1,5520,95.59994783756838,192
2,46196,7777931,1933986,11199086,22594,15063,7531,2,1.3,1.2,5643,92.38073056917574,244
2,95300,7958664,1944868,11489202,22594,15063,7531,2,1.3,1.3,5724,90.92211468931646,298
2,162091,8134931,1920855,11731323,22594,15063,7531,2,1.3,1.4,5825,83.20645640009207,410
2,196850,8146940,1959729,11754123,22594,15063,7531,2,1.3,1.5,5844,85.56086547288487,393
2,276125,8248589,1970389,12096513,22594,15063,7531,2,1.3,1.6,5925,78.8009942300605,493
2,303131,8221114,1952625,12060133,22594,15063,7531,2,1.3,1.7,5913,79.45770672650315,494
2,376212,8298435,1945523,12290700,22594,15063,7531,2,1.3,1.8,5970,76.32705908470098,559
2,412997,8331045,1947984,12376500,22594,15063,7531,2,1.3,1.9,6005,75.48205208160698,563
2,430704,8296715,1927062,12381815,22594,15063,7531,2,1.3,2.0,6002,73.66934632711309,608
2,480380,8366854,1951271,12497953,22594,15063,7531,2,1.3,2.1,6066,70.83674025224082,640
2,569348,8406673,1978013,12634150,22594,15063,7531,2,1.3,2.2,6138,73.38646426617925,723
2,598367,8401022,1986385,12734278,22594,15063,7531,2,1.3,2.3,6127,70.1362526971161,744
2,634564,8378282,1974972,12836345,22594,15063,7531,2,1.3,2.4,6158,71.23066252701483,765
2,678104,8455816,1996542,12834910,22594,15063,7531,2,1.3,2.5,6201,73.68154611240243,789
2,697485,8384549,1978065,12791071,22594,15063,7531,2,1.3,2.6,6163,73.90822138940712,766
2,693548,8371031,1975218,12861389,22594,15063,7531,2,1.3,2.7,6178,70.59673789120643,768
2,722173,8424167,1972281,12855210,22594,15063,7531,2,1.3,2.8,6212,69.77292243711781,791
2,772777,8445252,1988928,12952087,22594,15063,7531,2,1.3,2.9,6206,66.19102357067186,823
2,777908,8402345,1961648,12931941,22594,15063,7531,2,1.3,3.0,6223,70.74921772393463,811
2,9612,8097924,2605612,11349539,22594,15063,7531,2,1.4,1.1,5879,117.1593725879984,220
2,43406,8304504,2663617,11569558,22594,15063,7531,2,1.4,1.2,5945,110.55821885511523,294
2,91821,8382453,2684350,11792150,22594,15063,7531,2,1.4,1.3,6004,106.257125497159,356
2,145333,8580313,2770849,12200349,22594,15063,7531,2,1.4,1.4,6084,100.08159474604508,455
2,202457,8619773,2780748,12347828,22594,15063,7531,2,1.4,1.5,6143,104.39403455551292,498
2,245693,8653956,2761163,12408920,22594,15063,7531,2,1.4,1.6,6159,101.8915438475633,539
2,314155,8698426,2753790,12536421,22594,15063,7531,2,1.4,1.7,6174,95.50871779864701,579
2,353915,8815797,2806027,12791847,22594,15063,7531,2,1.4,1.8,6262,96.14783718391027,631
2,377210,8748322,2820023,12793921,22594,15063,7531,2,1.4,1.9,6257,91.78253880266038,645
2,447492,8830992,2778970,12889690,22594,15063,7531,2,1.4,2.0,6297,93.00903025998196,703
2,471415,8816796,2814009,12969803,22594,15063,7531,2,1.4,2.1,6343,97.48477954156078,743
2,540734,8889772,2828257,13204855,22594,15063,7531,2,1.4,2.2,6406,90.11094236915687,805
2,543035,8834403,2827522,13159844,22594,15063,7531,2,1.4,2.3,6397,84.05409173522276,826
2,605560,8805896,2825169,13191261,22594,15063,7531,2,1.4,2.4,6378,91.21402893502363,846
2,622981,8872209,2837483,13290638,22594,15063,7531,2,1.4,2.5,6429,80.46731603434819,813
