CarWaitTime,carFlex,ReqFlex
0.165913819,1.5,1.8
0.16870856,1.5,1.9
0.168668476,1.5,2
0.167994812,1.5,2.1
0.171011489,1.5,2.2
0.169124193,1.5,2.3
0.169477595,1.5,2.4
0.169769742,1.5,2.5
0.169218873,1.5,2.6
0.168400047,1.5,2.7
0.170137595,1.5,2.8
0.170888316,1.5,2.9
0.170607165,1.5,3
0.02125319,1.1,1.1
0.02117749,1.1,1.2
0.021073916,1.1,1.3
0.020823496,1.1,1.4
0.020675239,1.1,1.5
0.021478149,1.1,1.6
0.020916048,1.1,1.7
0.021228139,1.1,1.8
0.021058703,1.1,1.9
0.021011971,1.1,2
0.021051962,1.1,2.1
0.020681252,1.1,2.2
0.021204272,1.1,2.3
0.020830192,1.1,2.4
0.020764831,1.1,2.5
0.020815981,1.1,2.6
0.020674829,1.1,2.7
0.020770433,1.1,2.8
0.020432289,1.1,2.9
0.021099422,1.1,3
0.051496253,1.2,1.1
0.052335646,1.2,1.2
0.053543608,1.2,1.3
0.052152363,1.2,1.4
0.053204553,1.2,1.5
0.053789473,1.2,1.6
0.053221178,1.2,1.7
0.053444542,1.2,1.8
0.054043263,1.2,1.9
0.053765287,1.2,2
0.05333828,1.2,2.1
0.053501158,1.2,2.2
0.053614298,1.2,2.3
0.052856662,1.2,2.4
0.053097881,1.2,2.5
0.054410512,1.2,2.6
0.053330355,1.2,2.7
0.052903075,1.2,2.8
0.052749307,1.2,2.9
0.052872649,1.2,3
0.085954226,1.3,1.1
0.08808803,1.3,1.2
0.088583677,1.3,1.3
0.087489947,1.3,1.4
0.089260557,1.3,1.5
0.089746092,1.3,1.6
0.088936988,1.3,1.7
0.08861351,1.3,1.8
0.088725602,1.3,1.9
0.08777266,1.3,2
0.088875317,1.3,2.1
0.090093345,1.3,2.2
0.090474668,1.3,2.3
0.089954836,1.3,2.4
0.090937293,1.3,2.5
0.090095714,1.3,2.6
0.08996604,1.3,2.7
0.089832268,1.3,2.8
0.090590495,1.3,2.9
0.089347962,1.3,3
0.118678847,1.4,1.1
0.121320824,1.4,1.2
0.122265158,1.4,1.3
0.126204962,1.4,1.4
0.126655836,1.4,1.5
0.12576379,1.4,1.6
0.125427969,1.4,1.7
0.127807228,1.4,1.8
0.12844471,1.4,1.9
0.126574853,1.4,2
0.128170788,1.4,2.1
0.128819747,1.4,2.2
0.12878627,1.4,2.3
0.128679097,1.4,2.4
0.129239967,1.4,2.5
0.126177634,1.4,2.6
0.126860617,1.4,2.7
0.126560961,1.4,2.8
0.128234827,1.4,2.9
0.12895771,1.4,3
0.155048171,1.5,1.1
0.159078478,1.5,1.2
0.158927078,1.5,1.3
0.162848618,1.5,1.4
0.163123269,1.5,1.5
0.165827873,1.5,1.6
0.164095797,1.5,1.7
0.161707018,1.5,1.8
0.164967119,1.5,1.9
0.166952575,1.5,2
0.166113957,1.5,2.1
0.166980769,1.5,2.2
0.167270724,1.5,2.3
0.168513439,1.5,2.4
0.167763957,1.5,2.5
0.166217395,1.5,2.6
0.165438625,1.5,2.7
0.168526238,1.5,2.8
0.164513603,1.5,2.9
0.165528855,1.5,3
0.022311917,1.1,1.1
0.021840727,1.1,1.2
0.022052133,1.1,1.3
0.021987027,1.1,1.4
0.021971238,1.1,1.5
0.021930547,1.1,1.6
0.021264829,1.1,1.7
0.022196895,1.1,1.8
0.022122001,1.1,1.9
0.021959162,1.1,2
0.021263366,1.1,2.1
0.022066834,1.1,2.2
0.021711941,1.1,2.3
0.021729493,1.1,2.4
0.021967976,1.1,2.5
0.021106303,1.1,2.6
0.021476947,1.1,2.7
0.021132892,1.1,2.8
0.021815825,1.1,2.9
0.021305182,1.1,3
0.053158058,1.2,1.1
0.053221589,1.2,1.2
0.053597933,1.2,1.3
0.052302048,1.2,1.4
0.053285382,1.2,1.5
0.05365205,1.2,1.6
0.054469395,1.2,1.7
0.054532775,1.2,1.8
0.053611472,1.2,1.9
0.053802063,1.2,2
0.054140679,1.2,2.1
0.054095901,1.2,2.2
0.053845717,1.2,2.3
0.053620998,1.2,2.4
0.05456154,1.2,2.5
0.054206197,1.2,2.6
0.05414413,1.2,2.7
0.053816689,1.2,2.8
0.05305815,1.2,2.9
0.053822127,1.2,3
0.086689727,1.3,1.1
0.087709551,1.3,1.2
0.088516057,1.3,1.3
0.088129212,1.3,1.4
0.090184274,1.3,1.5
0.090493187,1.3,1.6
0.09019785,1.3,1.7
0.090125281,1.3,1.8
0.089648841,1.3,1.9
0.089582985,1.3,2
0.089929552,1.3,2.1
0.090202988,1.3,2.2
0.090626286,1.3,2.3
0.090158622,1.3,2.4
0.091704278,1.3,2.5
0.089354703,1.3,2.6
0.090021097,1.3,2.7
0.090441058,1.3,2.8
0.089854358,1.3,2.9
0.088660257,1.3,3
0.122368978,1.4,1.1
0.121216543,1.4,1.2
0.122431946,1.4,1.3
